"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"56","56","2019-02-11","@","HOU","L","104","120","35","73",".479","13","36",".361","21","27",".778","3","33","21","5","1","18","17","","42","90",".467","23","60",".383","13","15",".867","9","38","28","13","5","9","26","108.8","125.6","95.6",".370",".493",".613","46.5","60.0","5.2","3.3","",".568","17.5","9.4",".288","",".594","8.5","76.9",".144"
"57","57","2019-02-13","","MIA","L","101","112","34","88",".386","15","52",".288","18","22",".818","10","38","24","10","0","12","17","","44","81",".543","12","30",".400","12","16",".750","7","47","24","8","3","18","20","103.7","115.0","97.4",".250",".591",".517","44.7","70.6","10.3","0.0","",".472","10.9","20.0",".205","",".617","17.0","80.0",".148"
"58","58","2019-02-22","","DEN","L","104","114","34","84",".405","10","41",".244","26","33",".788","7","42","19","7","2","15","21","","42","103",".408","14","37",".378","16","25",".640","21","63","32","11","2","13","26","100.9","110.6","103.0",".393",".488",".528","40.0","55.9","6.8","3.0","",".464","13.2","14.3",".310","",".476","10.2","62.5",".155"
"59","59","2019-02-23","@","UTA","L","109","125","41","97",".423","13","36",".361","14","18",".778","8","42","25","2","3","3","28","","41","85",".482","14","38",".368","29","33",".879","8","53","28","2","9","7","21","112.1","128.6","97.2",".186",".371",".519","44.2","61.0","2.1","6.4","",".490","2.8","15.1",".144","",".565","6.6","81.0",".341"
"60","60","2019-02-25","@","LAC","L","112","121","37","76",".487","14","36",".389","24","27",".889","7","45","28","3","9","17","20","","45","100",".450","17","45",".378","14","18",".778","9","40","33","11","4","5","22","113.7","122.8","98.5",".355",".474",".637","52.9","75.7","3.0","16.4","",".579","16.2","18.4",".316","",".535","4.4","80.9",".140"
"61","61","2019-02-27","","IND","W","110","101","40","81",".494","16","37",".432","14","23",".609","10","42","27","11","1","15","22","","37","77",".481","10","28",".357","17","21",".810","6","38","19","10","3","14","23","117.4","107.8","93.7",".284",".457",".604","52.5","67.5","11.7","2.0","",".593","14.1","23.8",".173","",".545","14.0","84.2",".221"
"62","62","2019-03-02","","MEM","L","81","111","26","85",".306","7","40",".175","22","33",".667","13","43","17","9","5","10","23","","39","78",".500","14","34",".412","19","24",".792","4","50","30","4","6","15","30","84.4","115.6","96.0",".388",".471",".407","46.2","65.4","9.4","11.4","",".347","9.1","22.0",".259","",".590","14.5","88.2",".244"
"63","63","2019-03-04","@","BRK","L","88","127","31","87",".356","12","45",".267","14","22",".636","5","36","20","4","3","13","19","","48","85",".565","17","41",".415","14","19",".737","3","48","29","8","1","13","23","85.9","124.0","102.5",".253",".517",".455","42.9","64.5","3.9","6.8","",".425","11.9","10.0",".161","",".665","12.2","91.2",".165"
"64","64","2019-03-06","@","WAS","L","123","132","45","93",".484","15","41",".366","18","28",".643","14","39","27","7","2","7","19","","50","93",".538","12","33",".364","20","25",".800","15","49","30","3","2","12","26","126.8","136.1","97.0",".301",".441",".584","44.3","60.0","7.2","3.3","",".565","6.2","29.2",".194","",".602","10.3","62.5",".215"
"65","65","2019-03-08","@","ORL","L","106","111","42","89",".472","10","34",".294","12","16",".750","10","42","22","6","3","14","15","","42","87",".483","14","29",".483","13","18",".722","11","48","26","9","5","14","18","109.0","114.1","97.3",".180",".382",".552","46.7","52.4","6.2","5.2","",".528","12.7","21.3",".135","",".563","12.9","74.4",".149"
